paper,table,dataset,subset,setting,model,reported_accuracy,reported_precision,reported_recall,reported_f1,reported_training_time,reported_testing_time,source_page_or_note,manual_entry_flag,notes
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,GaussianNB,0.8906,0.9979,0.8906,0.9411,2071507728.0,1671649398.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,KNN,0.9982,0.019,0.0148,0.0166,106205148337753.0,11972712642811.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,LogisticRegression,0.9976,0.9979,0.9976,0.9977,112252658417.0,984385909.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,LinearSVM,0.9942,0.0002,0.0009,0.0003,35314797566.0,661366602.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,DecisionTree,0.9827,0.0018,0.0276,0.0033,8271963209.0,997735598.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,ExtraTrees,0.9988,0.0,0.0,0.0,209531429363.0,49439825750.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,GradientBoosting,0.9984,0.998,0.9984,0.9982,2451403662347.0,18095133741.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,IsolationForest,0.9881,0.998,0.9881,0.993,197244480367.0,202233230770.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,RandomForest,0.9988,0.0011,0.0001,0.0003,763511969876.0,88901090110.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
Lampe_Meng_can_train_and_test_arxiv_2308.04972,Table10_subdataset1_test04_public_high_score_table,can-train-and-test original Bitbucket,set_01 / sub-dataset #1,test04 / testing subset #4,KMeans,0.8872,0.9985,0.8872,0.9392,97416359356.0,1463804724.0,arXiv Table 10; user task refers to this public comparison as Table 13,True,Manual transcription from original paper table; exact machine-readable source not shipped with repo.
